property_type,sector,bedRoom,bathroom,balcony,floorNum,facing,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category,price
flat,jai jawahar nagar,2.0,2.0,2,0.0,North-East,Old Property,870.0,0.0,0.0,0.0,0.0,15.0,Low Floor,0.37
flat,kompally,3.0,3.0,1,3.0,East,New Property,1820.0,0.0,0.0,1.0,0.0,0.0,Mid Floor,1.49
flat,patancheru,3.0,3.0,2,7.0,Not Available,Under Construction,1367.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.72
flat,gachibowli,3.0,3.0,2,23.0,West,New Property,1965.0,0.0,0.0,1.0,0.0,0.0,High Floor,1.79
flat,kondapur,2.0,2.0,1,14.0,East,New Property,1290.0,0.0,0.0,0.0,0.0,0.0,High Floor,1.55
flat,miyapur,2.0,2.0,1,5.0,Not Available,Under Construction,918.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.65
flat,mokila,4.0,4.0,2,4.0,West,Under Construction,2715.0,0.0,0.0,1.0,0.0,0.0,Mid Floor,1.25
flat,srinagar colony,4.0,4.0,0,5.0,West,Old Property,4100.0,0.0,1.0,1.0,0.0,10.0,Mid Floor,4.0
flat,mailardevpally,2.0,2.0,2,2.0,Not Available,New Property,1053.0,0.0,0.0,0.0,0.0,0.0,Low Floor,0.47
flat,mailardevpally,3.0,3.0,3,1.0,Not Available,New Property,1500.0,0.0,0.0,0.0,0.0,0.0,Low Floor,0.67
flat,gandimaisamma,2.0,2.0,2,8.0,West,Under Construction,1200.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.59
flat,kukatpally,3.0,3.0,1,3.0,East,Moderately Old,1350.0,0.0,0.0,0.0,0.0,16.0,Mid Floor,0.88
flat,bachupally,2.0,2.0,2,3.0,North,Relatively New,1335.0,1.0,0.0,1.0,0.0,21.0,Mid Floor,0.62
flat,kukatpally,3.0,4.0,3,31.0,East,New Property,1636.0,0.0,0.0,1.0,0.0,0.0,High Floor,2.15
flat,kavadiguda,2.0,2.0,1,1.0,East,Old Property,800.0,0.0,0.0,0.0,0.0,2.0,Low Floor,0.78
flat,hastinapuram,2.0,2.0,1,5.0,East,New Property,1000.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.65
flat,nacharam,2.0,2.0,1,4.0,West,New Property,1107.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.6
